artist_a,artist_b,song_id
2Ip2jiEjsSe8pmRBzwTv5N,1qJG1PpAGl1FnzYyCDU7x1,0YwJa8mZ50hVSwVifSRaK9
2Ip2jiEjsSe8pmRBzwTv5N,5qnRxQly5FwObKQHVRHRGD,0YwJa8mZ50hVSwVifSRaK9
1qJG1PpAGl1FnzYyCDU7x1,5qnRxQly5FwObKQHVRHRGD,0YwJa8mZ50hVSwVifSRaK9
2Ip2jiEjsSe8pmRBzwTv5N,6XQrv3AiNUS61JFK1VITTU,5Fwn9lIX21AljNoULbmpkc
1qJG1PpAGl1FnzYyCDU7x1,6XQrv3AiNUS61JFK1VITTU,5Fwn9lIX21AljNoULbmpkc
2Ip2jiEjsSe8pmRBzwTv5N,13yQqjPy4Esq0Ru3R1fipU,3yqJ0o9Ve6BVjAbeNJ055D
2Ip2jiEjsSe8pmRBzwTv5N,05qCf6M7E7AxizHVmrcPqh,3yqJ0o9Ve6BVjAbeNJ055D
13yQqjPy4Esq0Ru3R1fipU,05qCf6M7E7AxizHVmrcPqh,3yqJ0o9Ve6BVjAbeNJ055D
2Ip2jiEjsSe8pmRBzwTv5N,5Gv1C1LY8pWiYcfcdjSNMT,3LOE3USq9MD6a92KK37Ax1
1qJG1PpAGl1FnzYyCDU7x1,5Gv1C1LY8pWiYcfcdjSNMT,3LOE3USq9MD6a92KK37Ax1
2Ip2jiEjsSe8pmRBzwTv5N,27azwwkxutWL1BWMkgNIh0,596k2qwFIEob13OXVoZnXY
1qJG1PpAGl1FnzYyCDU7x1,27azwwkxutWL1BWMkgNIh0,596k2qwFIEob13OXVoZnXY
2Ip2jiEjsSe8pmRBzwTv5N,204IwDdaHE4ymGk9Kya2pY,0nTxR7JRl0YJAqDjgQ298T
1qJG1PpAGl1FnzYyCDU7x1,204IwDdaHE4ymGk9Kya2pY,0nTxR7JRl0YJAqDjgQ298T
2Ip2jiEjsSe8pmRBzwTv5N,3bwb5u6i1DM7nDxnBSDDCa,0u9ElGmMm5upFANfxehLRJ
1qJG1PpAGl1FnzYyCDU7x1,3bwb5u6i1DM7nDxnBSDDCa,0u9ElGmMm5upFANfxehLRJ
2Ip2jiEjsSe8pmRBzwTv5N,1LvxqCO8GOAKkDzDOXfrAK,6TwIcghxoVmFkfG6PFgCeF
2Ip2jiEjsSe8pmRBzwTv5N,2Ig1qV7rQGQtBWKa8mynIl,68gsB1WBWc5hPxv20CKLts
1LvxqCO8GOAKkDzDOXfrAK,2Ig1qV7rQGQtBWKa8mynIl,68gsB1WBWc5hPxv20CKLts
2Ip2jiEjsSe8pmRBzwTv5N,6ZnwtQznVleZpEkQINdyfG,6TuFeSKT62xvhsrAeRMG0d
2Ip2jiEjsSe8pmRBzwTv5N,1YOVBTvznjiDvtAj4ExHeo,6TuFeSKT62xvhsrAeRMG0d
1qJG1PpAGl1FnzYyCDU7x1,6ZnwtQznVleZpEkQINdyfG,6TuFeSKT62xvhsrAeRMG0d
1qJG1PpAGl1FnzYyCDU7x1,1YOVBTvznjiDvtAj4ExHeo,6TuFeSKT62xvhsrAeRMG0d
6ZnwtQznVleZpEkQINdyfG,1YOVBTvznjiDvtAj4ExHeo,6TuFeSKT62xvhsrAeRMG0d
2Ip2jiEjsSe8pmRBzwTv5N,4WsbVj42cgWVcs9UyDVJbv,1ZTORckCbTsulund1GxzoF
2Ip2jiEjsSe8pmRBzwTv5N,5WFFFHVqeVk5tLuYh2KjQy,217BVPi5KfZVkL55Lpsrx8
2Ip2jiEjsSe8pmRBzwTv5N,7D5NN6IlLcm4Mo2QPqAQFx,2vOy6iXJpQJPFCFfH93MvN
6mw0OyFqwxCOmz1v3W3htO,6VpdTQWCRE01WVoEuby2a6,6eiE8aADzURp3fqxIRfAth
6mw0OyFqwxCOmz1v3W3htO,2Ip2jiEjsSe8pmRBzwTv5N,6eiE8aADzURp3fqxIRfAth
6mw0OyFqwxCOmz1v3W3htO,4FMpb2dZnasTgrWwyKCQuN,6eiE8aADzURp3fqxIRfAth
6VpdTQWCRE01WVoEuby2a6,2Ip2jiEjsSe8pmRBzwTv5N,6eiE8aADzURp3fqxIRfAth
6VpdTQWCRE01WVoEuby2a6,4FMpb2dZnasTgrWwyKCQuN,6eiE8aADzURp3fqxIRfAth
2Ip2jiEjsSe8pmRBzwTv5N,4FMpb2dZnasTgrWwyKCQuN,6eiE8aADzURp3fqxIRfAth
